id_student,code_module,code_presentation,avg_clicks,total_clicks,active_weeks,days_diff,score,is_submitted,is_late,is_high_activity,risk_label,final_result,highest_education,disability,gender,age_band,region
6516,AAA,2014J,118.0,472,4,-2.0,60.0,1,0,0,0,Pass,HE Qualification,N,M,55<=,Scotland
8462,DDD,2013J,52.0,208,4,4.0,93.0,1,1,0,1,Withdrawn,HE Qualification,N,M,55<=,London Region
8462,DDD,2014J,10.0,10,1,-21.0,93.0,1,0,0,1,Withdrawn,HE Qualification,N,M,55<=,London Region
11391,AAA,2013J,84.66666666666667,254,3,-1.0,78.0,1,0,0,0,Pass,HE Qualification,N,M,55<=,East Anglian Region
23629,BBB,2013B,9.75,39,4,-10.0,67.0,1,0,0,1,Fail,Lower Than A Level,N,F,0-35,East Anglian Region
23698,CCC,2014J,45.75,183,4,3.0,78.0,1,1,0,0,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region
23798,BBB,2013J,33.5,134,4,-1.0,90.0,1,0,0,0,Distinction,A Level or Equivalent,N,M,0-35,Wales
24186,GGG,2014B,3.0,6,2,,,0,0,0,0,Pass,Lower Than A Level,Y,F,0-35,Yorkshire Region
24213,DDD,2014B,106.25,425,4,0.0,78.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region
24391,GGG,2013J,16.75,67,4,,,0,0,0,0,Distinction,A Level or Equivalent,N,M,0-35,East Midlands Region
24734,AAA,2014J,19.25,77,4,4.0,41.0,1,1,0,0,Pass,Lower Than A Level,N,F,0-35,South Region
25107,BBB,2013B,26.333333333333332,79,3,1.0,59.0,1,1,0,0,Pass,Lower Than A Level,N,F,0-35,East Anglian Region
25150,EEE,2014B,53.75,215,4,,,0,0,0,0,Pass,HE Qualification,N,M,0-35,North Western Region
25261,CCC,2014J,133.25,533,4,3.0,78.0,1,1,0,1,Withdrawn,HE Qualification,N,F,0-35,Scotland
25572,DDD,2014J,19.666666666666668,59,3,0.0,80.0,1,0,0,1,Withdrawn,HE Qualification,N,F,0-35,London Region
25629,BBB,2014B,11.0,11,1,,,0,0,0,1,Withdrawn,Lower Than A Level,N,F,0-35,Scotland
26023,GGG,2013J,17.0,68,4,,,0,0,0,0,Pass,Lower Than A Level,N,M,35-55,North Western Region
26192,AAA,2014J,131.0,524,4,-1.0,87.0,1,0,0,0,Distinction,A Level or Equivalent,N,F,35-55,East Anglian Region
