id_student,code_module,code_presentation,final_result,highest_education,disability,gender,age_band,region,week,total_clicks,days_diff,score,is_submitted,is_late,is_high_activity,risk_label
11391,AAA,2013J,Pass,HE Qualification,N,M,55<=,East Anglian Region,1,134,-1.0,78.0,1,0,0,0
11391,AAA,2013J,Pass,HE Qualification,N,M,55<=,East Anglian Region,2,20,-1.0,78.0,1,0,0,0
11391,AAA,2013J,Pass,HE Qualification,N,M,55<=,East Anglian Region,3,100,-1.0,78.0,1,0,0,0
28400,AAA,2013J,Pass,HE Qualification,N,F,35-55,Scotland,1,127,3.0,70.0,1,1,0,0
28400,AAA,2013J,Pass,HE Qualification,N,F,35-55,Scotland,2,66,3.0,70.0,1,1,0,0
28400,AAA,2013J,Pass,HE Qualification,N,F,35-55,Scotland,3,37,3.0,70.0,1,1,0,0
28400,AAA,2013J,Pass,HE Qualification,N,F,35-55,Scotland,4,57,3.0,70.0,1,1,0,0
30268,AAA,2013J,Withdrawn,A Level or Equivalent,Y,F,35-55,North Western Region,1,107,,,0,0,0,1
30268,AAA,2013J,Withdrawn,A Level or Equivalent,Y,F,35-55,North Western Region,2,72,,,0,0,0,1
31604,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,South East Region,1,22,-2.0,72.0,1,0,0,0
31604,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,South East Region,2,154,-2.0,72.0,1,0,0,0
31604,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,South East Region,3,108,-2.0,72.0,1,0,0,0
31604,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,South East Region,4,25,-2.0,72.0,1,0,0,0
32885,AAA,2013J,Pass,Lower Than A Level,N,F,0-35,West Midlands Region,1,61,7.0,69.0,1,1,0,0
32885,AAA,2013J,Pass,Lower Than A Level,N,F,0-35,West Midlands Region,2,116,7.0,69.0,1,1,0,0
32885,AAA,2013J,Pass,Lower Than A Level,N,F,0-35,West Midlands Region,3,37,7.0,69.0,1,1,0,0
32885,AAA,2013J,Pass,Lower Than A Level,N,F,0-35,West Midlands Region,4,58,7.0,69.0,1,1,0,0
38053,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,Wales,1,87,0.0,79.0,1,0,0,0
38053,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,Wales,2,141,0.0,79.0,1,0,0,0
38053,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,Wales,3,135,0.0,79.0,1,0,0,0
38053,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,Wales,4,39,0.0,79.0,1,0,0,0
45462,AAA,2013J,Pass,HE Qualification,N,M,0-35,Scotland,1,74,1.0,70.0,1,1,0,0
45462,AAA,2013J,Pass,HE Qualification,N,M,0-35,Scotland,3,190,1.0,70.0,1,1,0,0
45462,AAA,2013J,Pass,HE Qualification,N,M,0-35,Scotland,4,55,1.0,70.0,1,1,0,0
45642,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,North Western Region,1,28,-1.0,72.0,1,0,0,0
45642,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,North Western Region,2,73,-1.0,72.0,1,0,0,0
45642,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,North Western Region,3,184,-1.0,72.0,1,0,0,0
45642,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,North Western Region,4,103,-1.0,72.0,1,0,0,0
52130,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,1,26,0.0,72.0,1,0,0,0
52130,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,2,65,0.0,72.0,1,0,0,0
52130,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,3,161,0.0,72.0,1,0,0,0
52130,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,4,93,0.0,72.0,1,0,0,0
53025,AAA,2013J,Pass,Post Graduate Qualification,N,M,55<=,North Region,1,103,-10.0,71.0,1,0,0,0
53025,AAA,2013J,Pass,Post Graduate Qualification,N,M,55<=,North Region,2,103,-10.0,71.0,1,0,0,0
53025,AAA,2013J,Pass,Post Graduate Qualification,N,M,55<=,North Region,3,118,-10.0,71.0,1,0,0,0
53025,AAA,2013J,Pass,Post Graduate Qualification,N,M,55<=,North Region,4,58,-10.0,71.0,1,0,0,0
57506,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,1,100,-1.0,68.0,1,0,0,0
57506,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,2,68,-1.0,68.0,1,0,0,0
57506,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,3,154,-1.0,68.0,1,0,0,0
57506,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,4,41,-1.0,68.0,1,0,0,0
58873,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,1,76,0.0,73.0,1,0,0,0
58873,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,2,55,0.0,73.0,1,0,0,0
58873,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,3,110,0.0,73.0,1,0,0,0
58873,AAA,2013J,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region,4,73,0.0,73.0,1,0,0,0
59185,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,East Anglian Region,1,75,-1.0,67.0,1,0,0,0
59185,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,East Anglian Region,2,238,-1.0,67.0,1,0,0,0
59185,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,East Anglian Region,3,32,-1.0,67.0,1,0,0,0
59185,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,East Anglian Region,4,26,-1.0,67.0,1,0,0,0
62155,AAA,2013J,Pass,HE Qualification,N,F,0-35,North Western Region,1,40,-2.0,73.0,1,0,0,0
62155,AAA,2013J,Pass,HE Qualification,N,F,0-35,North Western Region,2,20,-2.0,73.0,1,0,0,0
62155,AAA,2013J,Pass,HE Qualification,N,F,0-35,North Western Region,3,221,-2.0,73.0,1,0,0,0
62155,AAA,2013J,Pass,HE Qualification,N,F,0-35,North Western Region,4,103,-2.0,73.0,1,0,0,0
63400,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Scotland,1,58,0.0,83.0,1,0,0,0
63400,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Scotland,2,130,0.0,83.0,1,0,0,0
63400,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Scotland,3,156,0.0,83.0,1,0,0,0
63400,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Scotland,4,124,0.0,83.0,1,0,0,0
65002,AAA,2013J,Withdrawn,A Level or Equivalent,N,F,0-35,East Anglian Region,1,56,-2.0,66.0,1,0,0,1
65002,AAA,2013J,Withdrawn,A Level or Equivalent,N,F,0-35,East Anglian Region,2,6,-2.0,66.0,1,0,0,1
65002,AAA,2013J,Withdrawn,A Level or Equivalent,N,F,0-35,East Anglian Region,3,29,-2.0,66.0,1,0,0,1
70464,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,West Midlands Region,1,106,0.0,59.0,1,0,0,0
70464,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,West Midlands Region,2,74,0.0,59.0,1,0,0,0
70464,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,West Midlands Region,3,129,0.0,59.0,1,0,0,0
70464,AAA,2013J,Pass,A Level or Equivalent,N,F,35-55,West Midlands Region,4,1,0.0,59.0,1,0,0,0
71361,AAA,2013J,Pass,HE Qualification,N,M,35-55,Ireland,1,127,0.0,82.0,1,0,0,0
71361,AAA,2013J,Pass,HE Qualification,N,M,35-55,Ireland,2,291,0.0,82.0,1,0,1,0
71361,AAA,2013J,Pass,HE Qualification,N,M,35-55,Ireland,3,228,0.0,82.0,1,0,0,0
71361,AAA,2013J,Pass,HE Qualification,N,M,35-55,Ireland,4,148,0.0,82.0,1,0,0,0
74372,AAA,2013J,Fail,A Level or Equivalent,N,M,35-55,East Anglian Region,3,16,3.0,60.0,1,1,0,1
74372,AAA,2013J,Fail,A Level or Equivalent,N,M,35-55,East Anglian Region,4,12,3.0,60.0,1,1,0,1
75091,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,South West Region,1,126,-1.0,67.0,1,0,0,0
75091,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,South West Region,2,80,-1.0,67.0,1,0,0,0
75091,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,South West Region,3,219,-1.0,67.0,1,0,0,0
75091,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,South West Region,4,60,-1.0,67.0,1,0,0,0
77367,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,East Midlands Region,1,60,-1.0,73.0,1,0,0,0
77367,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,East Midlands Region,2,41,-1.0,73.0,1,0,0,0
77367,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,East Midlands Region,3,96,-1.0,73.0,1,0,0,0
77367,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,East Midlands Region,4,21,-1.0,73.0,1,0,0,0
91265,AAA,2013J,Pass,HE Qualification,N,M,0-35,North Western Region,1,39,2.0,75.0,1,1,0,0
91265,AAA,2013J,Pass,HE Qualification,N,M,0-35,North Western Region,2,26,2.0,75.0,1,1,0,0
91265,AAA,2013J,Pass,HE Qualification,N,M,0-35,North Western Region,3,140,2.0,75.0,1,1,0,0
91265,AAA,2013J,Pass,HE Qualification,N,M,0-35,North Western Region,4,50,2.0,75.0,1,1,0,0
94961,AAA,2013J,Withdrawn,Lower Than A Level,N,M,35-55,South Region,1,53,-2.0,74.0,1,0,0,1
94961,AAA,2013J,Withdrawn,Lower Than A Level,N,M,35-55,South Region,2,87,-2.0,74.0,1,0,0,1
94961,AAA,2013J,Withdrawn,Lower Than A Level,N,M,35-55,South Region,3,12,-2.0,74.0,1,0,0,1
94961,AAA,2013J,Withdrawn,Lower Than A Level,N,M,35-55,South Region,4,53,-2.0,74.0,1,0,0,1
98094,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Wales,1,187,-1.0,62.0,1,0,0,0
98094,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Wales,2,229,-1.0,62.0,1,0,0,0
98094,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Wales,3,131,-1.0,62.0,1,0,0,0
98094,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Wales,4,64,-1.0,62.0,1,0,0,0
100893,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,Yorkshire Region,1,37,-2.0,63.0,1,0,0,0
100893,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,Yorkshire Region,2,5,-2.0,63.0,1,0,0,0
100893,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,Yorkshire Region,3,49,-2.0,63.0,1,0,0,0
100893,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,Yorkshire Region,4,15,-2.0,63.0,1,0,0,0
101781,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,1,119,-3.0,84.0,1,0,0,0
101781,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,2,514,-3.0,84.0,1,0,1,0
101781,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,3,310,-3.0,84.0,1,0,1,0
101781,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,South Region,4,79,-3.0,84.0,1,0,0,0
102806,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,North Western Region,1,105,0.0,80.0,1,0,0,0
102806,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,North Western Region,2,172,0.0,80.0,1,0,0,0
102806,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,North Western Region,3,52,0.0,80.0,1,0,0,0
102806,AAA,2013J,Pass,A Level or Equivalent,N,M,0-35,North Western Region,4,87,0.0,80.0,1,0,0,0
102952,AAA,2013J,Pass,HE Qualification,N,M,0-35,London Region,1,121,0.0,76.0,1,0,0,0
102952,AAA,2013J,Pass,HE Qualification,N,M,0-35,London Region,2,111,0.0,76.0,1,0,0,0
102952,AAA,2013J,Pass,HE Qualification,N,M,0-35,London Region,3,93,0.0,76.0,1,0,0,0
102952,AAA,2013J,Pass,HE Qualification,N,M,0-35,London Region,4,13,0.0,76.0,1,0,0,0
104476,AAA,2013J,Pass,Post Graduate Qualification,N,M,35-55,Ireland,1,346,11.0,85.0,1,1,1,0
104476,AAA,2013J,Pass,Post Graduate Qualification,N,M,35-55,Ireland,2,168,11.0,85.0,1,1,0,0
104476,AAA,2013J,Pass,Post Graduate Qualification,N,M,35-55,Ireland,3,52,11.0,85.0,1,1,0,0
104476,AAA,2013J,Pass,Post Graduate Qualification,N,M,35-55,Ireland,4,117,11.0,85.0,1,1,0,0
106247,AAA,2013J,Withdrawn,HE Qualification,N,M,35-55,South Region,2,11,13.0,67.0,1,1,0,1
106247,AAA,2013J,Withdrawn,HE Qualification,N,M,35-55,South Region,3,36,13.0,67.0,1,1,0,1
106577,AAA,2013J,Pass,Lower Than A Level,N,M,0-35,East Midlands Region,1,55,-1.0,57.0,1,0,0,0
106577,AAA,2013J,Pass,Lower Than A Level,N,M,0-35,East Midlands Region,2,5,-1.0,57.0,1,0,0,0
106577,AAA,2013J,Pass,Lower Than A Level,N,M,0-35,East Midlands Region,3,87,-1.0,57.0,1,0,0,0
106577,AAA,2013J,Pass,Lower Than A Level,N,M,0-35,East Midlands Region,4,22,-1.0,57.0,1,0,0,0
110175,AAA,2013J,Pass,HE Qualification,N,M,35-55,East Anglian Region,1,15,-1.0,66.0,1,0,0,0
110175,AAA,2013J,Pass,HE Qualification,N,M,35-55,East Anglian Region,2,98,-1.0,66.0,1,0,0,0
110175,AAA,2013J,Pass,HE Qualification,N,M,35-55,East Anglian Region,3,32,-1.0,66.0,1,0,0,0
110175,AAA,2013J,Pass,HE Qualification,N,M,35-55,East Anglian Region,4,8,-1.0,66.0,1,0,0,0
111717,AAA,2013J,Pass,HE Qualification,N,F,35-55,East Anglian Region,1,146,-9.0,80.0,1,0,0,0
111717,AAA,2013J,Pass,HE Qualification,N,F,35-55,East Anglian Region,2,103,-9.0,80.0,1,0,0,0
111717,AAA,2013J,Pass,HE Qualification,N,F,35-55,East Anglian Region,3,53,-9.0,80.0,1,0,0,0
111717,AAA,2013J,Pass,HE Qualification,N,F,35-55,East Anglian Region,4,68,-9.0,80.0,1,0,0,0
113295,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Yorkshire Region,1,205,0.0,81.0,1,0,0,0
113295,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Yorkshire Region,2,250,0.0,81.0,1,0,1,0
113295,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Yorkshire Region,3,245,0.0,81.0,1,0,0,0
113295,AAA,2013J,Pass,Lower Than A Level,N,M,35-55,Yorkshire Region,4,262,0.0,81.0,1,0,1,0
114017,AAA,2013J,Pass,Post Graduate Qualification,N,F,35-55,North Region,1,3,-1.0,66.0,1,0,0,0
114017,AAA,2013J,Pass,Post Graduate Qualification,N,F,35-55,North Region,2,247,-1.0,66.0,1,0,0,0
114017,AAA,2013J,Pass,Post Graduate Qualification,N,F,35-55,North Region,3,65,-1.0,66.0,1,0,0,0
114999,AAA,2013J,Pass,HE Qualification,N,M,35-55,Yorkshire Region,1,23,-1.0,74.0,1,0,0,0
114999,AAA,2013J,Pass,HE Qualification,N,M,35-55,Yorkshire Region,2,36,-1.0,74.0,1,0,0,0
114999,AAA,2013J,Pass,HE Qualification,N,M,35-55,Yorkshire Region,3,50,-1.0,74.0,1,0,0,0
114999,AAA,2013J,Pass,HE Qualification,N,M,35-55,Yorkshire Region,4,72,-1.0,74.0,1,0,0,0
116541,AAA,2013J,Pass,HE Qualification,N,M,0-35,Wales,1,10,0.0,76.0,1,0,0,0
116541,AAA,2013J,Pass,HE Qualification,N,M,0-35,Wales,2,95,0.0,76.0,1,0,0,0
116541,AAA,2013J,Pass,HE Qualification,N,M,0-35,Wales,3,166,0.0,76.0,1,0,0,0
116541,AAA,2013J,Pass,HE Qualification,N,M,0-35,Wales,4,122,0.0,76.0,1,0,0,0
116692,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,East Anglian Region,1,35,-3.0,72.0,1,0,0,0
116692,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,East Anglian Region,2,67,-3.0,72.0,1,0,0,0
116692,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,East Anglian Region,3,45,-3.0,72.0,1,0,0,0
116692,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,East Anglian Region,4,46,-3.0,72.0,1,0,0,0
118983,AAA,2013J,Pass,HE Qualification,N,M,0-35,East Midlands Region,2,10,0.0,73.0,1,0,0,0
118983,AAA,2013J,Pass,HE Qualification,N,M,0-35,East Midlands Region,3,41,0.0,73.0,1,0,0,0
123044,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,South Region,1,246,6.0,75.0,1,1,0,0
123044,AAA,2013J,Pass,A Level or Equivalent,N,M,35-55,South Region,2,88,6.0,75.0,1,1,0,0
